CAKG001RA|I know! It's from Oleander's mind!
CAGH008RA|Well, not me. I'm ready to kill for my camp!
CAGH035RA|Sasha, there's no time. I think my vision about Dogen came true. I'm worried it's going to happen to the others if we don't get to the bottom of this quick.
CAGH017RA|I'm off! Be right back after I talk with Agent Cruller!
CAGH015RA|Agent Cruller...
CAGH028RA|Okay, time to face my big, diving-helmet spitting personal demons.
CAGH012RA|I'll get one!
CAKG002RA|I think I was in the Coach's dream that whole time! Ever since I stepped through the static in the caravan, it felt funny. I knew I wasn't obsessed with meat!
CAGH010RA|What's the big deal? What she doesn't know won't hurt her.
CALF018RA|But I have to climb that creepy tower and save Dogen from an insane dentist!
CAGH030RA|Okay, I'm a certified levitator now. Ready to roll.
CAKG004RA|I've got to tell Lili. She's waiting for me down by the boathouse.
CAGH003RA|Could you try it first?
CAGH001RA|Have you tested this thing out on humans yet?
CAGH025RA|Almost! I just have to get my affairs in order first.
CAGH023RA|Yes! Are you going to pull me into your mind like the Coach did?
CAGI000RA|Wow. Is this what the inside of my mind looks like?
CAGH000RA|Is this going to hurt?
CAGH019RA|Oh... uh... yes. But I left it in my other pants. Be right back.
CAGH026RA|Just in case I die.
CAGH002RA|Will I get in trouble with Milla? She told me not to take any paranormal training while I'm here.
CAGH006RA|What?
CALF013RA|Agent Milla Vodello, the Mental Minx!
CAGH020RA|Okay I got it. Check it out.
CALF011RA|Hey!
CAGH004RA|Okay, I'm ready to learn how to really fight!
CAEZ000RA|Well, she'll be fully brained soon, I promise.
CAKK006RA|Man, he's like a little bat.
CAKL003RA|Sorry!
CAFU000RA|She's waiting for you at band practice.
CAFF003RA|But--
CAIF013RA|...and that's why finding your brain in particular was my highest priority.
CAFF001RA|Well, let me tell you what our plan is--
CAIF011RA|...and that is how I beat the Hideous, Hulking Lungfish of Lake Oblongata.
CAFT002RA|We're gonna be re-braining her really soon.
CAKE028RA|...and sweeping a porch...
CAKL001RA|I don't have enough PSI Cards to make a new PSI Challenge Marker.
CAKK004RA|Yeah, yeah.
CAIF008RA|...and that's why we have to find Lili right away.
CAKE031RA|Say no more. Your secret identity is safe with me.
CAKC010RA|Yeah, I read about that. They said your psyche was shattered, that you lost your mind, but... you seem fine to me.
CAEW001RA|Yeah, he's waiting for you down by the docks.
CAKK000RA|Ford said that I can use this machine to turn pine needles into delicious taffy.
CAKX003RA|Uh...
CAKC014RA|Well, you can call headquarters and get help!
CAKF007RA|Okay, do you have, like, a little baggie or something I could put this in?
CAIF015RA|...that's a good question. But I didn't taste it, so I don't really know the answer for sure.
CAKI016RA|...and my PSI Cards and Cores in there.
CAKM007RA|If they were happy memories, I wouldn't have run away.
CAFJ000RA|Yep. He's free-range.
CAKR003RA|You sound like my dad!
CAIF017RA|...and so--long story short--we're hoping for the best, but preparing for the worst.
CAKF005RA|Is that... a piece of bacon?
CAKK002RA|Just testing your hearing!
